name,combined_features
Club Lighting,Indie;Audio Production;Utilities Single-player;Steam Achievements Utilities;Audio Production;Indie
SnowNight,Adventure;Casual;Indie Single-player Adventure;Indie;Casual
Whimsical Quest,Action;Adventure Single-player;Full controller support Action;Adventure;Rogue-lite
Animal Force,Action;Casual;Indie;Strategy Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud Strategy;Action;Indie
RocketGO,Adventure;Casual;Free to Play;Sports Single-player;Steam Achievements Free to Play;Adventure;Casual
Qu-tros,Casual;Strategy Single-player;Partial Controller Support;Steam Leaderboards Casual;Strategy
VRetired,Indie;Early Access Single-player Early Access;Indie;VR
Detective Sherlock Pug - Hidden Object. Relaxing games,Adventure;Casual;Indie Single-player;Steam Achievements;Steam Leaderboards Indie;Casual;Adventure
Anstorm,Action;Indie Single-player;Steam Achievements Action;Indie;2D
Trivia Clash: Adult Film Star Edition,Casual Single-player;Full controller support Casual
Seek Love,Adventure;Casual;Indie;Strategy Single-player;Steam Achievements;Partial Controller Support;Steam Cloud Indie;Casual;Strategy
Slime Research,Indie;Early Access Single-player;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor Early Access;Indie;Puzzle-Platformer
Tippy Tree,Casual;Indie;Simulation Single-player;Steam Workshop Casual;Indie;Simulation
Ocean's Treasures,Adventure;Casual;Indie;Simulation Single-player Adventure;Indie;Casual
Flower,Adventure;Casual Single-player;Steam Achievements;Full controller support;Steam Cloud Casual;Adventure;Exploration
Bravado,Action;Casual;Indie;Strategy Single-player;Steam Achievements;Steam Leaderboards Action;Indie;Casual
Hell Breaker,Adventure Single-player Adventure;VR
I'm the Koala,Action;Adventure;Casual;Indie;Strategy Single-player;Steam Achievements Action;Indie;Casual
Undress Tournament,Adventure;Casual;Free to Play;RPG Single-player;Steam Achievements;In-App Purchases;Steam Cloud Sexual Content;Free to Play;Nudity
You have a drunk friend,Action;Adventure;Casual;Indie;Simulation Single-player Action;Casual;Adventure
Bedtime Blues,Action;Casual;Indie Single-player Action;Indie;Casual
Zquirrels Jump,Action;Indie;Racing Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards;Includes level editor Action;Indie;Racing
Beat Blocks VR,Indie;Early Access Single-player Early Access;Indie;VR
Erotic Winter Sports,Casual;Indie Single-player;Steam Achievements Casual;Sexual Content;Indie
qop 4,Casual;Indie Single-player;Steam Achievements;Partial Controller Support Indie;Casual;Puzzle
Red Matter,Adventure;Indie Single-player;Steam Achievements;Steam Cloud Adventure;Indie;Puzzle
Pumped BMX Pro,Sports Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards Bikes;BMX;Sports
The Yellow Quiz,Casual Local Multi-Player;Local Co-op;Cross-Platform Multiplayer Casual
Pacify,Action;Adventure;Casual;Indie;Strategy Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Leaderboards Horror;Multiplayer;Co-op
Raffle Blast,Animation & Modeling;Design & Illustration;Utilities Includes level editor Design & Illustration;Utilities;Animation & Modeling
Curfew,Action;Adventure;Casual;Indie Single-player Action;Indie;Casual
XWidget,Animation & Modeling;Design & Illustration;Utilities Single-player;Steam Cloud;Includes level editor Utilities;Animation & Modeling;Design & Illustration
Drum Simulator,Audio Production;Utilities Steam Achievements Utilities;Audio Production;Simulation
Frozen Mystery,Casual;Indie Single-player;Steam Achievements Indie;Casual;Puzzle
Spark Five,Action;Adventure;Casual;Indie Single-player;Steam Achievements;Partial Controller Support Action;Indie;Casual
DOKA 2 KISHKI EDITION,Action;Adventure;Casual;Indie;RPG;Simulation Single-player;Steam Achievements;Steam Trading Cards Gore;Violent;Memes
Mò The Frog,Action;Adventure;Indie;Early Access Single-player;Partial Controller Support Early Access;Action;Adventure
Dungeons of Necromancers,Action;Adventure;Casual;Indie;RPG;Simulation;Strategy Single-player;Steam Achievements;Steam Cloud Action;Casual;Indie
Creatures Inc,Action;Indie;Massively Multiplayer;Simulation;Early Access Single-player;Co-op;Online Co-op Early Access;Action;Simulation
Nights at the Clown Maze,Indie Single-player Indie
Kick The Anime Simulator,Casual;Indie;Simulation;Early Access Single-player Early Access;Indie;Casual
Special Counter Force Attack,Action Single-player;Partial Controller Support Action;Gore;Violent
Microsoft Maquette,Casual;Free to Play Single-player VR;Design & Illustration;Beautiful
Galactic Incoming,Action;Casual Single-player;Steam Achievements Action;Casual
[it's possible],Casual;Indie Single-player;Steam Achievements;Partial Controller Support;Stats;Includes level editor Indie;Casual;Platformer
Jump Jumpz,Casual;Free to Play;Indie Single-player;Full controller support Free to Play;Indie;Casual
Predicate,Action;Indie Single-player;Steam Achievements;Full controller support Action;Indie;Difficult
King of Retail,Casual;Indie;Simulation;Early Access Single-player Early Access;Casual;Simulation
Deported 2: Build That Wall,Indie Single-player;Full controller support Indie;Comedy;Funny
Super Chains,Casual;Indie Single-player;Steam Achievements;Steam Cloud;Stats;Steam Leaderboards Indie;Casual;Puzzle
Breathe Peace World,Casual;Free to Play;Indie Single-player Free to Play;Indie;Casual
Alpha & Beta,Action;Adventure;Casual;Indie Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards Action;Indie;Casual
Hotel Sowls,Adventure;Indie;Early Access Single-player;Steam Achievements;Steam Cloud Early Access;Adventure;Indie
Recursive Pain,Action;Casual;Indie;Massively Multiplayer;Early Access Multi-player;Online Multi-Player Early Access;Action;Indie
Perfect Life VR,Indie;Simulation Single-player Indie;Simulation;VR
Fururu Project : Ruby,Adventure;Indie;RPG Single-player Adventure;RPG;Indie
Colonization of the Moon,Action;Indie Single-player Action;Indie
Artist Idle,Free to Play;Indie Single-player;Steam Achievements;In-App Purchases;Steam Cloud Clicker;Free to Play;Indie
Hentai Puzzle Classic,Indie Single-player;Steam Achievements;Includes level editor Indie
Mine Royale - Battle Royale,Action;Adventure;Strategy Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Cross-Platform Multiplayer Action;Strategy;Adventure
Bunny Mahjo,Casual;Indie;Simulation;Strategy Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Cloud;Stats;Includes level editor Strategy;Singleplayer;Casual
A Bewitching Revolution,Indie Single-player Indie
Too Hot!,Adventure;Indie Single-player Nudity;Sexual Content;Adventure
Gravity Wars: Black Hole,Indie;Simulation Single-player Indie;Simulation
Chaordic,Action;Adventure;Indie;RPG;Simulation Single-player;Steam Achievements;Steam Cloud Action;Indie;Adventure
Angry Punisher,Action;Casual;Indie Single-player;Steam Cloud Casual;Action;Indie
Bomb N' Bats,Indie Multi-player;Local Multi-Player;Shared/Split Screen;Full controller support Indie
The Kite,Adventure;Free to Play;Indie Single-player Free to Play;Indie;Adventure
Worlds Collide,Strategy;Early Access Single-player Early Access;Strategy
Fairyland: Fairylines,Casual;Indie Single-player;Steam Leaderboards Indie;Casual
DYNASTY WARRIORS 7: Xtreme Legends Definitive Edition / 真・三國無双６ with 猛将伝 DX,Action Single-player;Co-op;Local Co-op;Shared/Split Screen;Full controller support;Steam Trading Cards Action;Hack and Slash;Historical
Stormhill Mystery: Family Shadows,Adventure;Casual;Indie Single-player;Steam Achievements;Steam Cloud Adventure;Indie;Casual
Sakura MMO 2,Simulation Single-player;Partial Controller Support Nudity;Simulation;Anime
Glass Painting: Winter Art,Casual;Indie Single-player;Steam Achievements Indie;Casual;Puzzle
Mean Routine,Adventure;Early Access Single-player;Steam Achievements Early Access;Adventure;Singleplayer
mikapyon,Action;Casual Single-player;Partial Controller Support Action;Casual;Platformer
The Lost Soul,Adventure;Casual;Indie Single-player;Steam Achievements;Partial Controller Support;Steam Cloud Indie;Adventure;Casual
Death Space,Action;Adventure;Indie Single-player;Steam Achievements Action;Indie;Adventure
Siam Twinstick,Indie Single-player;Local Co-op;Steam Achievements;Full controller support Indie
Hentai Memorama,Casual;Indie Single-player;Steam Achievements Nudity;Casual;Indie
Warp Glider,Action;Indie Single-player;Multi-player;Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support Action;Indie;2D
Brave Hero Yuusha EX,Indie;RPG Single-player;Steam Achievements;Partial Controller Support Indie;RPG
NekoMiko,Adventure;Indie Single-player;Steam Trading Cards Sexual Content;Nudity;Adventure
Yearning,Adventure;Indie Single-player;Steam Achievements Adventure;Indie;Psychological Horror
Corrupt The Priest,Indie;Strategy Single-player;Steam Achievements Indie;Strategy;Atmospheric
Klondike & Girls,Casual;Indie Single-player;Steam Achievements Indie;Casual;Nudity
Terrible Beast from the East,Action;Adventure;Massively Multiplayer;RPG Single-player;Online Multi-Player;MMO;Steam Achievements Action;Adventure;RPG
BattleRush: Ardennes Assault,Action;Massively Multiplayer Single-player;Multi-player;MMO Action;Massively Multiplayer;Gore
Puzzles for smart: Horses,Casual;Indie Single-player;Steam Achievements Indie;Casual;Puzzle
Gems of Magic: Lost Family,Casual Single-player Casual;Match 3
Snares of Ruin Zero,Casual;Indie;RPG Single-player;Steam Achievements;Full controller support Indie;Casual;RPG
Trinity VR,Action Single-player Action;VR
Reynard,Action;Indie;RPG Single-player;Steam Achievements;Full controller support Action;Indie;RPG
Sierra Madre: The Wild West,Action;Adventure;Indie;Early Access Single-player;Steam Achievements;Steam Cloud Early Access;Action;Adventure
Campido,Casual;Simulation;Strategy Single-player Strategy;Casual;Simulation
Dr. Schplot's Nanobots,Casual;Indie;RPG Single-player Casual;Indie;RPG
Hulì The Mage,Action;Adventure;Indie;RPG;Early Access Single-player Early Access;Adventure;RPG
The Last Sphinx ARG,Adventure;Indie Single-player;Steam Achievements Adventure;Indie;Puzzle
Dog Barley-Break🐶,Casual;Indie Single-player;Steam Achievements Indie;Casual
Emerald Shores,Action;Indie;RPG Single-player;Steam Achievements;Full controller support Action;RPG;Indie
蓝宝石般的被害妄想少女/Damsel with persecutory delusion,Adventure;Casual;Indie;RPG;Simulation;Strategy Single-player;Steam Achievements Adventure;Indie;Casual
黑暗料理?!,Casual;Indie;Simulation;Strategy Single-player Casual;Strategy;Indie
Color Chain,Casual Single-player Casual
CHAOS;CHILD,Adventure Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud Visual Novel;Violent;Adventure
Cubicity: Slide puzzle,Adventure;Indie Single-player;Steam Achievements;Steam Cloud Indie;Adventure;Puzzle
Dig to the Stars,Indie;Strategy Single-player;Steam Achievements Indie;Strategy;Casual
Nuclear Power Station Creator,Indie;Strategy;Early Access Single-player;Steam Achievements Early Access;Strategy;Indie
Snowballed: Crazy Downhill,Adventure;Indie Single-player Adventure;Indie;Action
Operation Snowman,Indie Single-player;Steam Achievements Indie;Action;Singleplayer
Kolumno,Casual;Indie Single-player;Steam Achievements;Full controller support;Steam Cloud Casual;Puzzle;Indie
Ball Out,Action;Indie;Racing;Sports;Early Access Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Full controller support Early Access;Sports;Indie
Julie's Sweets,Casual Single-player;Steam Achievements;Steam Cloud Casual;Time Management
1001 Jigsaw. Home Sweet Home,Casual Single-player Casual
1001 Jigsaw. World Tour: Great America,Casual Single-player Casual
Crappy Tube,Action;Adventure Single-player;Steam Achievements Action;Violent;Adventure
VR INTERACTIVE TRAILER: Runes,Action;Adventure;Indie Single-player Action;Adventure;Indie
Mystery Case Files: The Countess Collector's Edition,Adventure;Casual Single-player Adventure;Casual;Hidden Object
Dark Parables: The Match Girl's Lost Paradise Collector's Edition,Adventure;Casual Single-player Adventure;Casual;Hidden Object
Hidden Object: Home Makeover,Adventure;Casual Single-player Adventure;Casual
Forgiveness : Escape Room,Indie Single-player;Steam Achievements Indie;Atmospheric;Puzzle
Anubis' Challenge,Action Single-player;Steam Achievements Action;Indie;VR
Bomber Arena,Action;Adventure;Casual;Indie;Strategy Single-player;Multi-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Partial Controller Support Action;Indie;Casual
Robert Rodriguez’s THE LIMIT: An Immersive Cinema Experience,Action Single-player;Partial Controller Support Action;Gore;Violent
Diamond love,RPG Single-player RPG;RPGMaker
From Beyond Prologue,Adventure;Indie Single-player;Steam Achievements;Captions available Adventure;Indie
Victory Race,Adventure;Casual;Indie;Racing;Early Access Single-player;Multi-player Early Access;Racing;Indie
FPS Training,Action Single-player;Steam Achievements;Steam Cloud Action;FPS;Shooter
Kitten Love Emulator,Adventure;Casual;Indie;Simulation Single-player;Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Partial Controller Support Adventure;Indie;Casual
Bubble Burst,Action;Casual;Indie Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards Action;Indie;Casual
SAMS,Action;Adventure;Casual;Indie;Massively Multiplayer Single-player;Local Multi-Player;Co-op;Local Co-op;Steam Achievements;Partial Controller Support Action;Indie;Casual
Gyro Boss DX,Action;Casual Single-player;Multi-player;Local Multi-Player;Full controller support Action;Casual
DragonScales 5: The Frozen Tomb,Casual Single-player;Steam Achievements Casual;Match 3;Puzzle
Blood Day,Action;Adventure;Indie Single-player Action;Adventure;Indie
Montaro RE,Casual;Indie Single-player;Steam Achievements;Partial Controller Support Indie;Casual;Cute
The Wizard's Tower,Indie;Strategy Single-player;Steam Achievements Strategy;Indie
ECON - Elemental Connection,Casual;Indie Single-player;Online Multi-Player;Steam Achievements Indie;Casual
Lonely shooter,Casual Single-player Casual
Draft Day Sports: Pro Basketball 2019,Indie;Simulation;Sports;Strategy Single-player;Shared/Split Screen Sports;Simulation;Strategy
Infinite Rave,Action;Adventure;Indie Single-player Action;Indie;Adventure
Super Captain 3D,Indie Single-player;Steam Achievements;Full controller support Indie;Shoot 'Em Up;Retro
Bots Rush,Indie;Strategy;Early Access Single-player Early Access;Strategy;Indie
祛魅·入灭（祛魅2） - Disenchantment Nirvana,Indie;RPG Single-player;Steam Achievements;Partial Controller Support;Steam Cloud RPG;Indie
WatchFamily,Casual;Indie Single-player;Steam Achievements Indie;Casual
Deep Space Shooter,Action;Indie Single-player;Steam Achievements Action;Indie;Space
FlyingMetalSuit,Indie Single-player Indie;VR
Dog In A Box,Casual;Indie Single-player Casual;Indie;VR
Termite,Action;Simulation;Strategy Single-player;In-App Purchases Strategy;Action;Simulation
Block Pooper 9,Action;Indie Local Multi-Player;Shared/Split Screen;Full controller support Indie;Action
Gems Kingdom,Casual Single-player;Steam Achievements Casual;Match 3
KOBOLD: Chapter I,Adventure Single-player Adventure;VR;Horror
Hidden Saga: Xamadeon Stone,Adventure;Casual;Indie;Early Access Single-player;Steam Achievements;Steam Cloud Early Access;Adventure;Indie
The Blame,Indie Single-player;Steam Achievements Indie;Puzzle;2D
RideOp - VR Thrill Ride Experience,Casual;Simulation Single-player Casual;Simulation;VR
Timore 6,Indie Single-player Indie;Gore;Violent
Rebirth,Action;Adventure;Massively Multiplayer;RPG;Early Access MMO Early Access;Action;Massively Multiplayer
stepbystep,Indie;Strategy Single-player;Steam Achievements;Full controller support Strategy;Indie
Evil Maze 2 | 惡魔迷宮 2,Action;Adventure;Indie;RPG;Strategy Single-player;Steam Achievements;Steam Cloud Nudity;Action;Adventure
Toilet Simulator,Simulation Single-player Simulation;Nudity
Super Realistic Autocross,Casual;Indie;Racing;Simulation;Early Access Single-player;Partial Controller Support Early Access;Indie;Casual
Hay Day Farm 2019,Casual;RPG;Simulation Single-player Casual;Simulation;RPG
RoboBall,Adventure;Indie Single-player;Steam Achievements;Steam Workshop;Partial Controller Support;Includes level editor Indie;Adventure;Puzzle
Hentai And Your Life,Casual;Indie;RPG;Simulation;Strategy Single-player;Steam Achievements;Steam Leaderboards Nudity;Sexual Content;Indie
Symphony of Stars,Action;Simulation;Strategy;Early Access Single-player;Online Multi-Player;Cross-Platform Multiplayer Early Access;Action;Strategy
Warriors Of Ragnarök,Casual;Indie;Strategy;Early Access Single-player;Steam Achievements Early Access;Casual;Strategy
Empires:The Rise,Free to Play;Strategy Single-player;Multi-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer;In-App Purchases Strategy;Free to Play;RTS
Otokomizu～漢水～,Action;Indie Single-player;Steam Achievements;Full controller support;Steam Cloud Action;Nudity;Indie
JumpJumpMania,Action;Casual;Indie Single-player Action;Indie;Casual
碧落传说,Adventure;Indie;RPG;Strategy;Early Access Single-player;Multi-player;Online Co-op Early Access;Strategy;Adventure
Antrum,Action;Adventure;Casual;Indie Single-player;Partial Controller Support;Steam Cloud Action;Indie;Casual
Disassembly VR,Indie;Simulation Single-player;Steam Achievements;Steam Cloud;Stats Indie;Simulation;Puzzle
Thronebreaker: The Witcher Tales,Adventure;RPG Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud Adventure;RPG;Card Game
Dragon World,Action;Indie Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Stats;Steam Leaderboards Action;Indie;Dragons
CYPEST Underground,Action;Casual;Indie Single-player;Local Multi-Player;Steam Achievements;Stats Action;Indie;Casual
Zero spring episode 2,Adventure;Indie;RPG Single-player Adventure;RPG;Indie
BattleMore,Strategy Single-player Strategy;RTS
Juggly,Casual;Indie;Strategy Single-player;Steam Achievements;Full controller support;Stats;Steam Leaderboards Casual;Indie;Strategy
Fruit Pop II,Casual;Indie Single-player;Steam Achievements;Stats Indie;Casual
Zeroptian Invasion,Action;Indie Single-player;Steam Achievements;Full controller support Indie;Action;Arcade
WellTown,Adventure;Casual;Free to Play;Indie;Simulation Single-player Free to Play;Adventure;Simulation
Stupid Cupid,Casual;Indie;Simulation;Early Access Single-player Early Access;Casual;Indie
Falnarion Tactics,RPG;Strategy Single-player;Steam Achievements;Full controller support Anime;Female Protagonist;RPG
异霊 皓月空华,Adventure;Casual;Free to Play;Indie;RPG;Simulation;Strategy Single-player Adventure;Free to Play;Casual
Detective escape1,Adventure;Casual;Indie;Simulation;Strategy Single-player Indie;Casual;Strategy
Grooming Adventure,Adventure;Casual;Indie;Strategy Single-player Casual;Indie;Strategy
Chop is dish,Action;Adventure;Indie Single-player;Steam Achievements;Full controller support Action;Adventure;Indie
Metaloid : Origin,Action;Indie Single-player;Steam Achievements;Full controller support Action;Indie;Platformer
三和大神,RPG;Simulation Single-player RPG;Simulation
Space Jump Cat,Action;Casual;Indie Single-player Action;Indie;Casual
Draft Day Sports: Pro Football 2019,Indie;Simulation;Sports;Strategy Single-player Sports;Strategy;Indie
Retro Wing Prime,Action;Casual;Indie Single-player;Steam Achievements Indie;Action;Casual
DREAM GIRLS VR,Action;Casual;Indie;Simulation;Sports Single-player Sexual Content;Nudity;Simulation
The Art Theft by Jay Doherty,Adventure Single-player Adventure;VR
A Show of Kindness,Adventure;Casual Single-player Adventure;Casual;VR
Condition Red,Action;Casual;Indie;Early Access Single-player;Full controller support;Steam Cloud Early Access;Action;Indie
FIREWORK,Action;Adventure;Indie Single-player;Steam Achievements;Full controller support Action;Adventure;Indie
New Adult Reality,Action;Adventure;Casual;Simulation Single-player Nudity;Casual;Simulation
DAMNOSAUR,Action;Casual;Free to Play;Indie Single-player;Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support Free to Play;Action;Casual
Blocky McBlockFace,Action;Casual;Indie Single-player;Steam Achievements Casual;Action;Indie
"NO, THANK YOU!!!",Indie Single-player;Steam Cloud Sexual Content;Violent;Nudity
Space Guard,Action;Casual;Indie Single-player Casual;Action;Indie
The Spirit Master of Retarnia -Conqueror of the Labyrinth-,RPG Single-player;Steam Cloud Sexual Content;Nudity;RPG
Abandoned,Free to Play;Indie Single-player Free to Play;Indie;Horror
Orphan of the Petal,Adventure;Casual;Free to Play;Indie;RPG Single-player Free to Play;RPG;Adventure
No Crossing,Casual;Indie Single-player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards Casual;Indie
~necromancy~Emily's Escape,Action;Adventure;Casual;Indie;RPG Single-player Sexual Content;Nudity;Adventure
Red points,Casual;Indie Single-player;Steam Achievements Casual;Indie;Simulation
A Business Power,Simulation Single-player Simulation
Das Geisterschiff / The Ghost Ship,Adventure;Indie;RPG Single-player RPG;Indie;Adventure
Hentai Shooter 3D: Christmas Party,Action Single-player Sexual Content;Action;Anime
Legion War,Adventure;Indie;Strategy;Early Access Single-player Early Access;Adventure;Strategy
The Pepper Prince: Episode 1 - Red Hot Chili Wedding,Adventure;Casual;Indie Single-player;Steam Achievements Adventure;Indie;Casual
Dodgeball Simulator VR,Action;Casual;Indie;Simulation;Sports;Early Access Single-player Early Access;Sports;Simulation
VESTIGE,Casual;Indie Single-player Sexual Content;Indie;Casual
Dick Wilde 2,Action Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements Action;VR;Comedy
RogueLite,Casual;Indie;RPG Single-player;Steam Achievements Indie;Casual;RPG
Discharge,Action;Casual;Indie;Strategy Single-player;Steam Achievements;Steam Cloud Action;Strategy;Indie
METAL SLUG XX,Action Single-player;Multi-player;Local Multi-Player;Co-op;Local Co-op;Steam Achievements;Full controller support Action;Retro;2D
ELASH,Action;Adventure;Indie;Strategy;Early Access Single-player Early Access;Indie;Action
KóterGame,Adventure;Free to Play;Indie;RPG Single-player;Steam Cloud Free to Play;Adventure;Indie
Qipa World-Hello Big Adventure,Adventure;Casual;Indie Single-player;Steam Achievements;Steam Leaderboards Indie;Casual;Adventure
Escape From The Dragons,Action;Casual;Indie Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards Indie;Casual;Action
CosmoDrive: Zero,Action;Casual;Indie;Racing;Simulation;Sports Single-player;Steam Achievements Action;Indie;Casual
拖拉机,Casual;Strategy Single-player Casual;Strategy
HENTAI SHADOW,Casual;Indie;Simulation;Strategy Single-player;Steam Achievements Indie;Casual;Nudity
Mahjong Fest: Winterland,Casual Single-player;Steam Achievements;Steam Cloud Casual;Puzzle;2D
I hate this game,Indie Single-player Indie;Pixel Graphics;Puzzle
The True Tales of Bloodstreet 13 - Chapter 1,Adventure;Free to Play;Indie Single-player Free to Play;Adventure;Indie
Drafting Tales,Casual;Indie;Simulation;Strategy;Early Access Single-player Early Access;Casual;Strategy
In The Ember 余烬之中,Indie;RPG Single-player;Steam Achievements;Steam Cloud RPG;Indie;RPGMaker
Bad Note 破碎的笔记,Adventure;Indie;RPG Single-player;Steam Achievements Adventure;Indie;RPG
Fight for Gold II,Action;Casual;Indie Single-player;Steam Achievements Action;Indie;Casual
WARPZONE DRIFTER,Action;Indie Single-player;Steam Achievements;Full controller support Indie;Action;Retro
Beer Bar,Simulation Single-player Simulation;RPGMaker
TV189,Action;Adventure;Casual;Indie;RPG;Simulation;Strategy;Early Access Single-player Early Access;Action;Indie
Spaceguy: Red Space,Action;Indie Single-player Action;Indie;Violent
Drawz,Casual;Indie Single-player;Steam Achievements;Stats Indie;Casual;Puzzle
You Can(Not) Survive,Action;Indie;RPG;Early Access Single-player;Steam Achievements Early Access;Action;Indie
Cotrio,Casual;Indie;Strategy Single-player;Steam Achievements;Partial Controller Support Casual;Indie;Strategy
9-nine-:Episode 1,Casual;Simulation Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud Sexual Content;Nudity;Casual
My so-called future girlfriend (미래의 여친님이 나에게 인사를 건네왔다),Casual;Indie;Simulation Single-player Indie;Casual;Simulation
ShineG In Bumpercat,Action;Adventure;Casual;Indie;Racing;RPG;Simulation;Sports;Strategy Single-player;Local Multi-Player;Partial Controller Support Nudity;Casual;Sexual Content
Santa Runner,Action;Casual;Indie Single-player Action;Indie;Casual
Pixel Bombs,Action;Casual;Indie Single-player Action;Casual;Indie
NeonCode,Adventure;Indie Single-player;Steam Achievements Adventure;Indie;Cyberpunk
Diaper Quest 2055,Adventure;Indie;RPG Single-player Adventure;RPG;Indie
Happy Vampire Girl,Action;Casual;Indie Single-player Indie;Casual;Action
Trafic Road Rush,Racing;Simulation;Sports Single-player;Steam Achievements Racing;Simulation;Sports
JumpingBoy,Action;Casual Single-player Casual;Action
Kukoo Kitchen,Casual;Indie Single-player;Steam Achievements Indie;Casual
Dance of Death: Du Lac & Fey,Adventure;Casual;Indie Single-player;Steam Achievements Adventure;Indie;Mystery
永冻之壳 The Shell of Permafrost,Casual;Free to Play;Indie;RPG Single-player;Steam Achievements Free to Play;RPG;Anime
Defeat the Beat,Action;Indie;Early Access Single-player Early Access;Action;Indie
Heart of Moon : The Mask of Seasons,Casual;Indie Single-player;Steam Achievements Indie;Casual;Match 3
A Cheesy Game,Casual;Indie;Early Access Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Steam Workshop;Includes level editor Early Access;Indie;Casual
The Great Emu War,Action Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support Action
The Clean Up Clyde Collection,Action;Casual;Indie Single-player Action;Indie;Casual
Kumpels,Simulation;Strategy Single-player Strategy;Simulation
Unblock Gridlock,Casual;Indie;Strategy Single-player;Steam Achievements Casual;Indie;Strategy
Elite Archery,Action;Adventure;Casual;Indie;Strategy Single-player Indie;Casual;Adventure
HORSE,Adventure;Free to Play;Indie Single-player Adventure;Free to Play;Sexual Content
Bible Test,Adventure;Casual;Indie;Simulation Single-player;Steam Achievements Indie;Casual;Adventure
尘沙的选择 THE CHOICE OF SAND,Action;Adventure;Indie;RPG Single-player;Steam Achievements;Partial Controller Support Action;Indie;Adventure
Explosive Pursuit,Action;Casual;Indie;Racing;Simulation;Strategy Single-player Action;Indie;Casual
RCRacer VR,Action;Indie;Racing;Early Access Single-player;Partial Controller Support Early Access;Racing;Action
Thirty Two,Casual;Indie Single-player;Steam Achievements;Partial Controller Support Indie;Casual
Fenimore Fillmore: 3 Skulls of the Toltecs,Adventure;Indie Single-player Adventure;Indie;Point & Click
Sea Birds: End of an Age,Indie Single-player Indie
Skinny,Indie;Early Access Single-player;Steam Achievements Early Access;Indie;Horror
Tokyo Warfare Turbo,Action;Free to Play;Indie;Simulation;Early Access Single-player;Partial Controller Support Early Access;Free to Play;Action
Cell to Singularity - Evolution Never Ends,Casual;Free to Play;Simulation;Early Access Single-player Early Access;Simulation;Clicker
Money Maker,Action;Adventure;Casual;Indie;Strategy Single-player;Steam Achievements Strategy;Action;Adventure
Where Thoughts Go: Resolutions,Casual;Free to Play;Indie Single-player Free to Play;Indie;Casual
Steam Prison,Adventure Single-player;Steam Cloud Otome;Adventure;Visual Novel
Jigsaw Masterpieces,Casual;Free to Play Single-player;Steam Achievements Free to Play;Casual;Puzzle
克苏鲁异闻录,Action;Adventure;Indie;RPG;Early Access Single-player;Full controller support Early Access;Action;Adventure
Super Hero Fight Club: Reloaded,Action;Indie Single-player;Multi-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Stats Action;Indie
The Experiment: Escape Room,Adventure;Casual;Indie Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support Adventure;Indie;Casual
バインドを解除する(unbind),Adventure;Indie;RPG Single-player;Steam Achievements Adventure;Indie;Violent
Happy toys,Adventure;Casual;Indie Single-player;Steam Achievements Nudity;Sexual Content;Indie
Snow Ash Land,Action;Adventure;Indie;Massively Multiplayer;RPG;Simulation;Early Access Single-player;Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Achievements Early Access;Action;Adventure
Skyworld: Kingdom Brawl,Indie;Strategy Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer Strategy;Indie;VR
Fairground 2 - The Ride Simulation,Indie;Simulation Single-player;Steam Achievements Indie;Simulation
THE ENIGMA MACHINE,Indie Single-player Indie;Horror;Cyberpunk
EMERGENCY 2,Simulation;Strategy Single-player Simulation;Strategy;Violent
Kick The Puppet,Action;Casual;Indie Single-player Casual;Action;Indie
A Dance of Fire and Ice,Indie Single-player;Steam Achievements;Partial Controller Support;Includes level editor Indie;Rhythm;Music
